               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.041225,            0.037918,                   0,             0.80367,             0.65558,             0.75806,             0.48335,            0.037948,            0.026054,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.041063,            0.037742,                   0,             0.80526,             0.65621,              0.7591,             0.48452,            0.037883,             0.02602,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.040979,            0.037817,                   0,             0.80171,              0.6603,             0.75996,             0.48534,            0.037819,            0.025981,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.040979,            0.037733,                   0,             0.80462,             0.66032,             0.76033,             0.48663,            0.037754,            0.025942,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.04074,            0.037636,                   0,             0.80651,               0.659,             0.76071,             0.48753,            0.037689,            0.025909,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.040866,            0.037733,                   0,             0.80449,             0.66132,              0.7621,               0.489,             0.03763,            0.025868,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040707,            0.037497,                   0,             0.80551,             0.66215,             0.76243,             0.48972,             0.03757,            0.025832,                   0,            0.005644,            0.005644,            0.005644
                  46,              0.0406,            0.037631,                   0,             0.80642,             0.66215,              0.7636,             0.49079,            0.037509,            0.025799,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040336,            0.037224,                   0,             0.80797,             0.66308,             0.76413,             0.49147,            0.037446,            0.025762,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.040498,            0.037411,                   0,             0.80386,             0.66587,             0.76479,             0.49279,            0.037383,            0.025725,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.040315,            0.037306,                   0,             0.80435,             0.66772,             0.76635,             0.49401,            0.037317,            0.025692,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.040272,             0.03723,                   0,             0.80265,             0.66883,               0.767,             0.49526,            0.037248,            0.025655,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.040107,            0.037029,                   0,             0.80438,             0.66957,             0.76774,               0.496,            0.037178,            0.025619,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.040134,            0.037062,                   0,             0.80279,             0.67197,             0.76857,             0.49735,            0.037114,            0.025583,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.040035,            0.036932,                   0,              0.8076,             0.66957,             0.76934,             0.49808,            0.037053,             0.02555,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.039921,            0.036936,                   0,             0.81049,             0.66892,             0.77044,             0.49978,            0.036991,            0.025513,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.039897,            0.036986,                   0,             0.81178,             0.66955,             0.77143,             0.50056,            0.036926,            0.025478,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.039856,            0.036816,                   0,             0.80858,             0.67227,             0.77148,             0.50144,            0.036863,            0.025443,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03973,            0.036923,                   0,             0.81031,             0.67208,             0.77205,             0.50248,            0.036805,            0.025406,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.039783,            0.037022,                   0,             0.81016,             0.67199,             0.77274,             0.50374,            0.036749,            0.025371,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.039637,            0.036635,                   0,             0.80827,             0.67403,             0.77365,             0.50439,            0.036687,            0.025338,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.039495,            0.036474,                   0,              0.8082,             0.67523,             0.77457,             0.50582,            0.036631,            0.025306,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.039443,            0.036599,                   0,             0.80796,             0.67514,             0.77509,             0.50683,            0.036574,            0.025275,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.039378,            0.036508,                   0,             0.80894,              0.6757,             0.77569,             0.50748,            0.036524,            0.025243,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.039291,            0.036283,                   0,             0.80629,             0.67848,             0.77635,             0.50881,            0.036474,            0.025209,                   0,            0.003862,            0.003862,            0.003862
